side,row,col,board_no,socket,label,shift
back,9,17,78,50,078-50,0.5
back,8,16,78,51,078-51,0.5
back,7,16,78,52,078-52,0.5
back,7,17,78,53,078-53,0.5
back,6,17,78,54,078-54,0.5
back,5,18,78,55,078-55,0.5
back,4,18,78,56,078-56,0.5
back,4,17,78,57,078-57,0.5
back,2,18,78,58,078-58,0.5
back,2,17,78,59,078-59,0.5
back,1,17,78,60,078-60,0.5
back,4,16,79,1,079-01,0.5
back,2,16,79,2,079-02,0.5
back,0,16,79,3,079-03,0.5
back,1,15,79,4,079-04,0.5
back,2,15,79,5,079-05,0.5
back,3,15,79,6,079-06,0.5
back,4,15,79,7,079-07,0.5
back,6,13,79,8,079-08,0.5
back,6,14,79,9,079-09,0.5
back,7,14,79,10,079-10,0.5
back,7,15,79,11,079-11,0.5
back,8,14,79,12,079-12,0.5
back,10,12,79,17,079-17,0.5
back,11,14,79,18,079-18,0.5
back,11,13,79,19,079-19,0.5
back,12,11,79,20,079-20,0.5
back,12,12,79,21,079-21,0.5
back,13,11,79,22,079-22,0.5
back,13,10,79,23,079-23,0.5
back,13,13,79,24,079-24,0.5
back,14,11,79,25,079-25,0.5
back,15,12,79,26,079-26,0.5
back,14,13,79,27,079-27,0.5
back,13,14,79,28,079-28,0.5
back,16,14,79,29,079-29,0.5
back,17,14,79,30,079-30,0.5
back,13,15,79,31,079-31,0.5
back,17,15,79,32,079-32,0.5
back,18,15,79,33,079-33,0.5
back,16,16,79,34,079-34,0.5
back,18,17,79,35,079-35,0.5
back,17,17,79,36,079-36,0.5
back,16,17,79,37,079-37,0.5
back,16,18,79,38,079-38,0.5
back,15,18,79,39,079-39,0.5
back,14,17,79,40,079-40,0.5
back,13,16,79,41,079-41,0.5
back,13,18,79,42,079-42,0.5
back,12,15,79,43,079-43,0.5
back,12,18,79,44,079-44,0.5
back,11,17,79,45,079-45,0.5
back,11,18,79,46,079-46,0.5
back,10,16,79,47,079-47,0.5
back,10,17,79,48,079-48,0.5
back,9,16,79,49,079-49,0.5
back,8,18,79,50,079-50,0.5
back,8,17,79,51,079-51,0.5
back,7,18,79,52,079-52,0.5
back,6,18,79,53,079-53,0.5
back,6,16,79,54,079-54,0.5
back,5,16,79,55,079-55,0.5
back,5,17,79,56,079-56,0.5
back,3,18,79,57,079-57,0.5
back,3,17,79,58,079-58,0.5
back,1,18,79,59,079-59,0.5
back,0,18,79,60,079-60,0.5
back,1,30,80,1,080-01,0.5
back,0,30,80,2,080-02,0.5
back,0,29,80,3,080-03,0.5
back,0,28,80,4,080-04,0.5
back,0,26,80,5,080-05,0.5
back,1,27,80,6,080-06,0.5
back,1,26,80,7,080-07,0.5
back,0,24,80,8,080-08,0.5
back,2,26,80,9,080-09,0.5
back,1,24,80,10,080-10,0.5
back,0,22,80,11,080-11,0.5
back,2,25,80,12,080-12,0.5
back,1,23,80,13,080-13,0.5
back,2,24,80,14,080-14,0.5
back,3,25,80,15,080-15,0.5
back,2,23,80,16,080-16,0.5
back,4,25,80,17,080-17,0.5
back,5,28,80,18,080-18,0.5
back,6,26,80,19,080-19,0.5
back,6,27,80,20,080-20,0.5
back,6,25,80,21,080-21,0.5
back,7,25,80,22,080-22,0.5
back,8,25,80,25,080-25,0.5
back,9,25,80,26,080-26,0.5
back,8,26,80,27,080-27,0.5
back,9,26,80,29,080-29,0.5
back,7,27,80,30,080-30,0.5
back,10,26,80,31,080-31,0.5
back,9,27,80,32,080-32,0.5
back,8,28,80,33,080-33,0.5
back,9,28,80,34,080-34,0.5
back,10,28,80,35,080-35,0.5
back,10,29,80,36,080-36,0.5
back,9,29,80,37,080-37,0.5
back,8,30,80,38,080-38,0.5
back,8,31,80,39,080-39,0.5
back,7,31,80,40,080-40,0.5
back,7,28,80,41,080-41,0.5
back,7,29,80,42,080-42,0.5
back,6,31,80,43,080-43,0.5
back,6,29,80,44,080-44,0.5
back,6,30,80,45,080-45,0.5
back,5,29,80,46,080-46,0.5
back,5,31,80,47,080-47,0.5
back,5,30,80,48,080-48,0.5
back,4,29,80,49,080-49,0.5
back,3,33,80,50,080-50,0.5
back,2,34,80,51,080-51,0.5
back,4,30,80,52,080-52,0.5
back,1,35,80,53,080-53,0.5
back,3,31,80,54,080-54,0.5
back,0,36,80,55,080-55,0.5
back,1,33,80,56,080-56,0.5
