side,row,col,board_no,socket,label,shift
front,20,21,92,1,092-01,0.5
front,26,24,92,2,092-02,0.5
front,24,26,92,3,092-03,0
front,19,19,92,4,092-04,0.5
front,23,21,92,5,092-05,0.5
front,27,23,92,6,092-06,0.5
front,21,24,92,7,092-07,0.5
front,24,27,92,8,092-08,0
front,21,25,92,9,092-09,0.5
front,24,28,92,10,092-10,0
front,17,22,92,11,092-11,0
front,27,25,92,12,092-12,0.5
front,28,25,92,13,092-13,0
front,18,21,92,14,092-14,0.5
front,18,22,92,15,092-15,0.5
front,23,16,92,16,092-16,0.5
front,22,17,92,17,092-17,0.5
front,22,18,92,18,092-18,0.5
front,21,16,92,19,092-19,0.5
front,24,22,92,20,092-20,0
front,22,19,92,21,092-21,0.5
front,20,16,92,22,092-22,0.5
front,23,18,92,23,092-23,0.5
front,21,21,92,24,092-24,0.5
front,19,27,92,25,092-25,0.5
front,19,29,92,26,092-26,0.5
front,19,28,92,27,092-27,0.5
front,20,20,92,28,092-28,0.5
front,24,24,92,29,092-29,0
front,20,19,92,30,092-30,0.5
front,29,24,92,31,092-31,0.5
front,25,22,92,32,092-32,0
front,30,22,92,33,092-33,0.5
front,31,21,92,34,092-34,0.5
front,33,20,92,35,092-35,0.5
front,27,17,92,36,092-36,0.5
front,33,18,92,37,092-37,0.5
front,33,16,92,38,092-38,0.5
front,32,18,92,39,092-39,0.5
front,26,17,92,40,092-40,0.5
front,31,20,92,41,092-41,0.5
front,31,17,92,42,092-42,0.5
front,25,18,92,43,092-43,0
front,30,20,92,44,092-44,0.5
front,30,19,92,45,092-45,0.5
front,24,16,92,46,092-46,0
front,30,17,92,47,092-47,0.5
front,29,22,92,48,092-48,0.5
front,29,21,92,49,092-49,0.5
front,29,18,92,50,092-50,0.5
front,17,20,92,51,092-51,0
front,29,16,92,52,092-52,0.5
front,28,23,92,53,092-53,0
front,28,20,92,54,092-54,0
front,25,26,92,55,092-55,0
front,16,19,92,56,092-56,0.5
front,16,18,92,57,092-57,0.5
front,27,22,92,58,092-58,0.5
front,27,21,92,59,092-59,0.5
front,21,22,92,60,092-60,0.5
front,26,23,93,1,093-01,0.5
front,19,20,93,2,093-02,0.5
front,21,23,93,3,093-03,0.5
front,19,21,93,4,093-04,0.5
front,19,22,93,5,093-05,0.5
front,20,23,93,6,093-06,0.5
front,27,24,93,7,093-07,0.5
front,20,24,93,8,093-08,0.5
front,22,24,93,9,093-09,0.5
front,26,26,93,10,093-10,0.5
front,17,21,93,11,093-11,0
front,20,25,93,12,093-12,0.5
front,23,23,93,13,093-13,0.5
front,22,25,93,14,093-14,0.5
front,25,28,93,15,093-15,0
front,22,16,93,16,093-16,0.5
front,24,21,93,17,093-17,0
front,20,26,93,18,093-18,0.5
front,21,17,93,19,093-19,0.5
front,27,26,93,20,093-20,0.5
front,21,19,93,21,093-21,0.5
front,20,17,93,22,093-22,0.5
front,20,18,93,23,093-23,0.5
front,25,23,93,24,093-24,0
front,20,27,93,25,093-25,0.5
front,26,22,93,26,093-26,0.5
front,20,28,93,27,093-27,0.5
front,23,19,93,28,093-28,0.5
front,28,26,93,29,093-29,0
front,22,20,93,30,093-30,0.5
front,26,21,93,31,093-31,0.5
front,31,23,93,32,093-32,0.5
front,31,22,93,33,093-33,0.5
front,26,20,93,34,093-34,0.5
front,33,21,93,35,093-35,0.5
front,33,19,93,36,093-36,0.5
front,33,17,93,37,093-37,0.5
front,32,19,93,38,093-38,0.5
front,26,18,93,39,093-39,0.5
front,26,16,93,40,093-40,0.5
front,31,19,93,41,093-41,0.5
front,25,19,93,42,093-42,0
front,30,21,93,43,093-43,0.5
front,31,16,93,44,093-44,0.5
front,24,19,93,45,093-45,0
front,18,20,93,46,093-46,0.5
front,24,17,93,47,093-47,0
front,30,16,93,48,093-48,0.5
front,29,20,93,49,093-49,0.5
front,18,16,93,50,093-50,0.5
front,29,19,93,51,093-51,0.5
front,17,19,93,52,093-52,0
front,17,17,93,53,093-53,0
front,28,22,93,54,093-54,0
front,26,25,93,55,093-55,0.5
front,28,18,93,56,093-56,0
front,16,17,93,57,093-57,0.5
front,27,20,93,58,093-58,0.5
front,27,19,93,59,093-59,0.5
front,25,24,93,60,093-60,0
front,23,20,94,1,094-01,0.5
front,25,25,94,2,094-02,0
front,20,22,94,3,094-03,0.5
front,22,22,94,4,094-04,0.5
front,19,16,94,5,094-05,0.5
front,22,23,94,6,094-06,0.5
front,19,23,94,7,094-07,0.5
front,23,22,94,8,094-08,0.5
front,19,24,94,9,094-09,0.5
front,25,27,94,10,094-10,0
front,19,25,94,11,094-11,0.5
front,17,23,94,12,094-12,0
front,21,26,94,13,094-13,0.5
front,17,24,94,14,094-14,0
front,26,27,94,15,094-15,0.5
front,24,29,94,16,094-16,0
front,18,23,94,17,094-17,0.5
front,19,26,94,18,094-18,0.5
front,23,17,94,19,094-19,0.5
front,21,18,94,20,094-20,0.5
front,25,21,94,21,094-21,0
front,24,23,94,22,094-22,0
front,21,20,94,23,094-23,0.5
front,21,27,94,24,094-24,0.5
front,19,17,94,25,094-25,0.5
front,19,18,94,26,094-26,0.5
front,21,28,94,27,094-27,0.5
front,22,26,94,28,094-28,0.5
front,23,24,94,29,094-29,0.5
front,29,25,94,30,094-30,0.5
front,30,24,94,31,094-31,0.5
front,30,23,94,32,094-32,0.5
front,32,22,94,33,094-33,0.5
front,32,21,94,34,094-34,0.5
front,27,18,94,35,094-35,0.5
front,27,16,94,36,094-36,0.5
front,26,19,94,37,094-37,0.5
front,32,20,94,38,094-38,0.5
front,32,17,94,39,094-39,0.5
front,25,20,94,40,094-40,0
front,32,16,94,41,094-41,0.5
front,31,18,94,42,094-42,0.5
front,25,17,94,43,094-43,0
front,24,20,94,44,094-44,0
front,29,23,94,45,094-45,0.5
front,24,18,94,46,094-46,0
front,30,18,94,47,094-47,0.5
front,18,19,94,48,094-48,0.5
front,18,18,94,49,094-49,0.5
front,18,17,94,50,094-50,0.5
front,29,17,94,51,094-51,0.5
front,28,24,94,52,094-52,0
front,17,18,94,53,094-53,0
front,28,21,94,54,094-54,0
front,28,19,94,55,094-55,0
front,28,17,94,56,094-56,0
front,16,16,94,57,094-57,0.5
front,28,16,94,58,094-58,0
front,24,25,94,59,094-59,0
front,22,21,94,60,094-60,0.5
front,25,7,95,1,095-01,0
front,23,11,95,2,095-02,0.5
front,26,8,95,3,095-03,0.5
front,22,10,95,4,095-04,0.5
front,27,10,95,5,095-05,0.5
front,27,9,95,6,095-06,0.5
front,16,15,95,7,095-07,0.5
front,28,12,95,8,095-08,0
front,28,10,95,9,095-09,0
front,17,15,95,10,095-10,0
front,17,14,95,11,095-11,0
front,29,11,95,12,095-12,0.5
front,30,15,95,13,095-13,0.5
front,18,14,95,14,095-14,0.5
front,29,9,95,15,095-15,0.5
front,24,15,95,16,095-16,0
front,30,11,95,17,095-17,0.5
front,30,10,95,18,095-18,0.5
front,24,12,95,19,095-19,0
front,25,14,95,20,095-20,0
front,31,11,95,21,095-21,0.5
front,25,12,95,22,095-22,0
front,32,14,95,23,095-23,0.5
front,26,12,95,24,095-24,0.5
front,27,15,95,25,095-25,0.5
front,27,13,95,26,095-26,0.5
front,32,11,95,27,095-27,0.5
front,31,10,95,28,095-28,0.5
front,31,9,95,29,095-29,0.5
front,26,10,95,30,095-30,0.5
front,29,8,95,31,095-31,0.5
front,25,9,95,32,095-32,0
front,22,5,95,33,095-33,0.5
front,21,3,95,34,095-34,0.5
front,19,13,95,35,095-35,0.5
front,19,3,95,36,095-36,0.5
front,21,10,95,37,095-37,0.5
front,20,12,95,38,095-38,0.5
front,20,15,95,39,095-39,0.5
front,20,14,95,40,095-40,0.5
front,25,11,95,41,095-41,0
front,23,14,95,42,095-42,0.5
front,21,15,95,43,095-43,0.5
front,22,13,95,44,095-44,0.5
front,20,5,95,45,095-45,0.5
front,22,14,95,46,095-46,0.5
front,22,15,95,47,095-47,0.5
front,22,6,95,48,095-48,0.5
front,18,10,95,49,095-49,0.5
front,23,8,95,50,095-50,0.5
front,20,6,95,51,095-51,0.5
front,26,5,95,52,095-52,0.5
front,17,10,95,53,095-53,0
front,28,8,95,54,095-54,0
front,20,7,95,55,095-55,0.5
front,19,8,95,56,095-56,0.5
front,25,6,95,57,095-57,0
front,23,10,95,58,095-58,0.5
front,27,8,95,59,095-59,0.5
front,19,15,95,60,095-60,0.5
front,19,10,96,1,096-01,0.5
front,19,11,96,2,096-02,0.5
front,24,7,96,3,096-03,0
front,20,10,96,4,096-04,0.5
front,27,11,96,5,096-05,0.5
front,28,15,96,6,096-06,0
front,28,13,96,7,096-07,0
front,28,11,96,8,096-08,0
front,16,12,96,9,096-09,0.5
front,29,14,96,10,096-10,0.5
front,17,13,96,11,096-11,0
front,29,12,96,12,096-12,0.5
front,29,10,96,13,096-13,0.5
front,18,15,96,14,096-14,0.5
front,30,14,96,15,096-15,0.5
front,30,13,96,16,096-16,0.5
front,24,14,96,17,096-17,0
front,31,14,96,18,096-18,0.5
front,25,16,96,19,096-19,0
front,25,13,96,20,096-20,0
front,31,12,96,21,096-21,0.5
front,26,15,96,22,096-22,0.5
front,26,13,96,23,096-23,0.5
front,33,15,96,24,096-24,0.5
front,33,13,96,25,096-25,0.5
front,33,12,96,26,096-26,0.5
front,33,10,96,27,096-27,0.5
front,32,10,96,28,096-28,0.5
front,30,9,96,29,096-29,0.5
front,30,8,96,30,096-30,0.5
front,30,7,96,31,096-31,0.5
front,28,6,96,32,096-32,0
front,23,12,96,33,096-33,0.5
front,20,3,96,34,096-34,0.5
front,19,2,96,35,096-35,0.5
front,19,14,96,36,096-36,0.5
front,21,4,96,37,096-37,0.5
front,22,11,96,38,096-38,0.5
front,20,13,96,39,096-39,0.5
front,25,10,96,40,096-40,0
front,21,12,96,41,096-41,0.5
front,23,7,96,42,096-42,0.5
front,21,14,96,43,096-43,0.5
front,19,5,96,44,096-44,0.5
front,24,3,96,45,096-45,0
front,18,8,96,46,096-46,0.5
front,23,15,96,47,096-47,0.5
front,28,7,96,48,096-48,0
front,21,5,96,49,096-49,0.5
front,19,6,96,50,096-50,0.5
front,27,6,96,51,096-51,0.5
front,24,4,96,52,096-52,0
front,17,11,96,53,096-53,0
front,19,7,96,54,096-54,0.5
front,27,7,96,55,096-55,0.5
front,26,6,96,56,096-56,0.5
front,21,7,96,57,096-57,0.5
front,19,9,96,58,096-58,0.5
front,24,6,96,59,096-59,0
front,19,12,96,60,096-60,0.5
front,26,7,97,1,097-01,0.5
front,22,9,97,2,097-02,0.5
front,25,8,97,3,097-03,0
front,21,9,97,4,097-04,0.5
front,27,12,97,5,097-05,0.5
front,28,14,97,6,097-06,0
front,16,14,97,7,097-07,0.5
front,16,13,97,8,097-08,0.5
front,28,9,97,9,097-09,0
front,29,15,97,10,097-10,0.5
front,17,16,97,11,097-11,0
front,29,13,97,12,097-12,0.5
front,17,12,97,13,097-13,0
front,18,13,97,14,097-14,0.5
front,18,12,97,15,097-15,0.5
front,30,12,97,16,097-16,0.5
front,31,15,97,17,097-17,0.5
front,24,13,97,18,097-18,0
front,25,15,97,19,097-19,0
front,31,13,97,20,097-20,0.5
front,32,15,97,21,097-21,0.5
front,26,14,97,22,097-22,0.5
front,32,13,97,23,097-23,0.5
front,33,14,97,24,097-24,0.5
front,27,14,97,25,097-25,0.5
front,32,12,97,26,097-26,0.5
front,33,11,97,27,097-27,0.5
front,26,11,97,28,097-28,0.5
front,32,9,97,29,097-29,0.5
front,31,8,97,30,097-30,0.5
front,29,7,97,31,097-31,0.5
front,29,6,97,32,097-32,0.5
front,20,11,97,33,097-33,0.5
front,20,4,97,34,097-34,0.5
front,26,9,97,35,097-35,0.5
front,19,4,97,36,097-36,0.5
front,24,8,97,37,097-37,0
front,21,11,97,38,097-38,0.5
front,23,13,97,39,097-39,0.5
front,24,9,97,40,097-40,0
front,22,12,97,41,097-41,0.5
front,24,10,97,42,097-42,0
front,21,13,97,43,097-43,0.5
front,27,5,97,44,097-44,0.5
front,24,11,97,45,097-45,0
front,26,4,97,46,097-46,0.5
front,25,4,97,47,097-47,0
front,18,9,97,48,097-48,0.5
front,17,8,97,49,097-49,0
front,18,11,97,50,097-50,0.5
front,17,9,97,51,097-51,0
front,25,5,97,52,097-52,0
front,22,7,97,53,097-53,0.5
front,21,6,97,54,097-54,0.5
front,23,9,97,55,097-55,0.5
front,24,5,97,56,097-56,0
front,22,8,97,57,097-57,0.5
front,20,8,97,58,097-58,0.5
front,21,8,97,59,097-59,0.5
front,20,9,97,60,097-60,0.5
front,0,24,98,1,098-01,0.5
front,0,25,98,2,098-02,0.5
front,1,25,98,3,098-03,0
front,0,27,98,4,098-04,0.5
front,0,28,98,5,098-05,0.5
front,0,30,98,6,098-06,0.5
front,1,28,98,7,098-07,0
front,1,30,98,8,098-08,0
front,2,28,98,9,098-09,0
front,2,30,98,10,098-10,0
front,3,25,98,11,098-11,0.5
front,3,28,98,12,098-12,0.5
front,3,29,98,13,098-13,0.5
front,4,25,98,14,098-14,0
front,4,29,98,15,098-15,0
front,5,27,98,16,098-16,0.5
front,5,26,98,17,098-17,0.5
front,6,28,98,18,098-18,0
front,6,26,98,19,098-19,0
front,7,27,98,20,098-20,0
front,7,25,98,21,098-21,0
front,8,26,98,22,098-22,0.5
front,9,27,98,23,098-23,0
front,9,26,98,24,098-24,0
front,10,26,98,25,098-25,0.5
front,12,26,98,26,098-26,0
front,11,25,98,27,098-27,0.5
front,14,25,98,28,098-28,0
front,10,24,98,29,098-29,0.5
front,13,24,98,30,098-30,0.5
front,16,24,98,31,098-31,0.5
front,12,24,98,32,098-32,0
front,13,23,98,33,098-33,0.5
front,14,23,98,34,098-34,0
front,16,22,98,35,098-35,0.5
front,13,20,98,36,098-36,0.5
front,12,22,98,37,098-37,0
front,11,21,98,38,098-38,0.5
front,11,22,98,39,098-39,0.5
front,10,21,98,40,098-40,0.5
front,10,23,98,41,098-41,0.5
front,9,24,98,42,098-42,0
front,8,22,98,43,098-43,0.5
front,8,23,98,44,098-44,0.5
front,7,21,98,45,098-45,0
front,7,23,98,46,098-46,0
front,6,22,98,47,098-47,0
front,6,23,98,48,098-48,0
front,6,24,98,49,098-49,0
front,5,23,98,50,098-50,0.5
front,4,22,98,51,098-51,0
front,4,24,98,52,098-52,0
front,4,21,98,53,098-53,0
front,3,23,98,54,098-54,0.5
front,3,21,98,55,098-55,0.5
front,2,23,98,56,098-56,0
front,2,21,98,57,098-57,0
front,1,21,98,58,098-58,0
front,0,23,98,59,098-59,0.5
front,0,22,98,60,098-60,0.5
front,1,24,99,1,099-01,0
front,2,25,99,2,099-02,0
front,1,26,99,3,099-03,0
front,0,26,99,4,099-04,0.5
front,0,29,99,5,099-05,0.5
front,1,27,99,6,099-06,0
front,1,29,99,7,099-07,0
front,2,26,99,8,099-08,0
front,2,27,99,9,099-09,0
front,2,29,99,10,099-10,0
front,3,26,99,11,099-11,0.5
front,3,27,99,12,099-12,0.5
front,4,27,99,13,099-13,0
front,4,26,99,14,099-14,0
front,4,28,99,15,099-15,0
front,5,28,99,16,099-16,0.5
front,5,25,99,17,099-17,0.5
front,6,27,99,18,099-18,0
front,6,25,99,19,099-19,0
front,7,28,99,20,099-20,0
front,7,26,99,21,099-21,0
front,8,27,99,22,099-22,0.5
front,8,25,99,23,099-23,0.5
front,9,25,99,24,099-24,0
front,11,26,99,25,099-25,0.5
front,10,25,99,26,099-26,0.5
front,13,25,99,27,099-27,0.5
front,12,25,99,28,099-28,0
front,15,24,99,29,099-29,0.5
front,11,24,99,30,099-30,0.5
front,14,24,99,31,099-31,0
front,15,23,99,32,099-32,0.5
front,16,23,99,33,099-33,0.5
front,15,22,99,34,099-34,0.5
front,13,22,99,35,099-35,0.5
front,13,21,99,36,099-36,0.5
front,14,22,99,37,099-37,0
front,12,23,99,38,099-38,0
