side,row,col,board_no,socket,label,shift
front,1,11,17,1,017-01,0.5
front,0,12,17,2,017-02,0
front,1,12,17,3,017-03,0.5
front,0,13,17,4,017-04,0
front,1,13,17,5,017-05,0.5
front,2,14,17,6,017-06,0
front,3,12,17,7,017-07,0.5
front,3,13,17,8,017-08,0.5
front,4,12,17,9,017-09,0
front,4,13,17,10,017-10,0
front,5,11,17,11,017-11,0.5
front,5,13,17,12,017-12,0.5
front,5,12,17,13,017-13,0.5
front,6,13,17,14,017-14,0
front,8,12,17,15,017-15,0
front,7,12,17,16,017-16,0.5
front,7,13,17,17,017-17,0.5
front,21,11,17,18,017-18,0.5
front,9,13,17,19,017-19,0.5
front,16,13,17,20,017-20,0
front,18,13,17,21,017-21,0
front,13,13,17,22,017-22,0.5
front,19,13,17,23,017-23,0.5
front,18,14,17,24,017-24,0
front,20,14,17,25,017-25,0
front,14,13,17,26,017-26,0
front,10,13,17,27,017-27,0
front,11,12,17,28,017-28,0.5
front,10,12,17,29,017-29,0
front,16,12,17,30,017-30,0
front,11,11,17,31,017-31,0.5
front,10,11,17,32,017-32,0
front,12,11,17,33,017-33,0
front,10,10,17,34,017-34,0
front,11,10,17,35,017-35,0.5
front,20,11,17,36,017-36,0
front,20,10,17,37,017-37,0
front,21,9,17,38,017-38,0.5
front,19,10,17,39,017-39,0.5
front,9,9,17,40,017-40,0.5
front,16,11,17,41,017-41,0
front,18,11,17,42,017-42,0
front,9,10,17,43,017-43,0.5
front,9,8,17,44,017-44,0.5
front,8,8,17,45,017-45,0
front,8,10,17,46,017-46,0
front,7,10,17,47,017-47,0.5
front,7,8,17,48,017-48,0.5
front,6,9,17,49,017-49,0
front,6,11,17,50,017-50,0
front,5,9,17,51,017-51,0.5
front,5,8,17,52,017-52,0.5
front,4,9,17,53,017-53,0
front,4,10,17,54,017-54,0
front,4,11,17,55,017-55,0
front,3,10,17,56,017-56,0.5
front,3,9,17,57,017-57,0.5
front,2,10,17,58,017-58,0
front,1,10,17,59,017-59,0.5
front,1,9,17,60,017-60,0.5
front,2,11,18,1,018-01,0
front,2,12,18,2,018-02,0
front,3,11,18,3,018-03,0.5
front,2,13,18,4,018-04,0
front,0,14,18,5,018-05,0
front,4,14,18,10,018-10,0
front,9,12,18,12,018-12,0.5
front,14,12,18,13,018-13,0
front,19,12,18,14,018-14,0.5
front,6,12,18,15,018-15,0
front,8,13,18,16,018-16,0
front,20,13,18,17,018-17,0
front,21,13,18,18,018-18,0.5
front,21,12,18,19,018-19,0.5
front,17,13,18,20,018-20,0.5
front,20,12,18,21,018-21,0
front,15,12,18,22,018-22,0.5
front,15,13,18,23,018-23,0.5
front,14,14,18,24,018-24,0
front,11,13,18,25,018-25,0.5
front,17,12,18,26,018-26,0.5
front,12,13,18,27,018-27,0
front,13,12,18,28,018-28,0.5
front,12,12,18,29,018-29,0
front,18,12,18,30,018-30,0
front,13,11,18,31,018-31,0.5
front,15,11,18,32,018-32,0.5
front,17,11,18,33,018-33,0.5
front,14,11,18,34,018-34,0
front,13,10,18,35,018-35,0.5
front,21,10,18,36,018-36,0.5
front,11,9,18,37,018-37,0.5
front,13,9,18,38,018-38,0.5
front,14,10,18,39,018-39,0
front,15,10,18,40,018-40,0.5
front,8,9,18,41,018-41,0
front,19,11,18,42,018-42,0.5
front,12,10,18,43,018-43,0
front,10,9,18,44,018-44,0
front,7,9,18,45,018-45,0.5
front,9,11,18,46,018-46,0.5
front,8,11,18,47,018-47,0
front,6,10,18,48,018-48,0
front,7,11,18,49,018-49,0.5
front,6,8,18,50,018-50,0
front,5,10,18,51,018-51,0.5
front,3,8,18,57,018-57,0.5
front,0,11,18,58,018-58,0
front,2,9,18,59,018-59,0
front,0,10,18,60,018-60,0
front,0,16,19,1,019-01,0
front,0,17,19,2,019-02,0
front,1,17,19,3,019-03,0.5
front,0,18,19,4,019-04,0
