side,row,col,board_no,socket,label,shift
front,7,7,137,52,137-52,0.5
front,8,9,137,53,137-53,0.5
front,8,8,137,54,137-54,0.5
front,9,9,137,55,137-55,0.5
front,9,6,137,56,137-56,0.5
front,10,9,137,57,137-57,0.5
front,10,8,137,58,137-58,0.5
front,11,9,137,59,137-59,0.5
front,11,8,137,60,137-60,0.5
front,11,6,138,1,138-01,0.5
front,9,5,138,2,138-02,0.5
front,11,4,138,3,138-03,0.5
front,11,3,138,4,138-04,0.5
front,11,1,138,5,138-05,0.5
front,10,1,138,6,138-06,0.5
front,9,3,138,7,138-07,0.5
front,9,1,138,8,138-08,0.5
front,8,3,138,9,138-09,0.5
front,8,5,138,10,138-10,0.5
front,7,2,138,11,138-11,0.5
front,7,4,138,12,138-12,0.5
front,7,1,138,13,138-13,0.5
front,6,4,138,14,138-14,0.5
front,6,2,138,15,138-15,0.5
front,6,1,138,16,138-16,0.5
front,5,3,138,17,138-17,0.5
front,5,2,138,18,138-18,0.5
front,4,1,138,19,138-19,0.5
front,4,3,138,20,138-20,0.5
front,3,1,138,21,138-21,0.5
front,3,3,138,22,138-22,0.5
front,2,1,138,23,138-23,0.5
front,2,3,138,24,138-24,0.5
front,1,2,138,25,138-25,0.5
front,1,3,138,26,138-26,0.5
front,0,4,138,27,138-27,0.5
front,1,4,138,28,138-28,0.5
front,1,5,138,30,138-30,0.5
front,3,5,138,31,138-31,0.5
front,1,6,138,33,138-33,0.5
front,0,6,138,34,138-34,0.5
front,0,8,138,35,138-35,0.5
front,1,8,138,36,138-36,0.5
front,2,7,138,37,138-37,0.5
front,2,8,138,38,138-38,0.5
front,3,6,138,39,138-39,0.5
front,3,8,138,40,138-40,0.5
front,4,8,138,42,138-42,0.5
front,4,7,138,43,138-43,0.5
front,5,8,138,45,138-45,0.5
front,5,7,138,46,138-46,0.5
front,6,8,138,48,138-48,0.5
front,6,7,138,49,138-49,0.5
front,7,8,138,51,138-51,0.5
front,7,6,138,52,138-52,0.5
front,8,6,138,54,138-54,0.5
front,8,7,138,55,138-55,0.5
front,9,8,138,56,138-56,0.5
front,9,7,138,57,138-57,0.5
front,10,6,138,58,138-58,0.5
front,10,7,138,59,138-59,0.5
front,11,7,138,60,138-60,0.5
back,10,5,139,1,139-01,0.5
back,9,5,139,2,139-02,0.5
back,10,6,139,3,139-03,0.5
back,11,8,139,4,139-04,0.5
back,10,7,139,5,139-05,0.5
back,10,9,139,6,139-06,0.5
back,9,7,139,7,139-07,0.5
back,9,9,139,8,139-08,0.5
back,8,6,139,9,139-09,0.5
back,8,8,139,10,139-10,0.5
back,7,8,139,11,139-11,0.5
back,7,6,139,12,139-12,0.5
back,6,6,139,14,139-14,0.5
back,6,8,139,15,139-15,0.5
back,5,6,139,17,139-17,0.5
back,5,8,139,18,139-18,0.5
back,4,8,139,19,139-19,0.5
back,4,6,139,20,139-20,0.5
back,3,8,139,21,139-21,0.5
back,3,6,139,22,139-22,0.5
back,2,8,139,23,139-23,0.5
back,1,9,139,24,139-24,0.5
back,0,9,139,25,139-25,0.5
back,0,8,139,26,139-26,0.5
back,0,7,139,27,139-27,0.5
back,1,6,139,28,139-28,0.5
back,0,5,139,30,139-30,0.5
back,1,5,139,31,139-31,0.5
back,2,4,139,33,139-33,0.5
back,0,3,139,34,139-34,0.5
back,1,3,139,35,139-35,0.5
back,0,1,139,36,139-36,0.5
back,1,1,139,37,139-37,0.5
back,2,1,139,38,139-38,0.5
back,3,4,139,39,139-39,0.5
back,3,1,139,40,139-40,0.5
back,4,5,139,42,139-42,0.5
back,4,3,139,43,139-43,0.5
back,4,1,139,44,139-44,0.5
back,5,2,139,45,139-45,0.5
back,5,4,139,46,139-46,0.5
back,5,1,139,47,139-47,0.5
back,6,5,139,48,139-48,0.5
back,6,3,139,49,139-49,0.5
back,6,1,139,50,139-50,0.5
back,7,5,139,51,139-51,0.5
back,7,4,139,52,139-52,0.5
back,8,5,139,53,139-53,0.5
back,8,4,139,54,139-54,0.5
back,8,3,139,55,139-55,0.5
back,9,2,139,56,139-56,0.5
back,9,3,139,57,139-57,0.5
back,10,2,139,58,139-58,0.5
back,10,3,139,59,139-59,0.5
back,11,3,139,60,139-60,0.5
back,11,4,140,1,140-01,0.5
back,11,5,140,2,140-02,0.5
back,11,6,140,3,140-03,0.5
back,11,7,140,4,140-04,0.5
back,11,9,140,5,140-05,0.5
back,10,8,140,6,140-06,0.5
back,9,6,140,7,140-07,0.5
back,9,8,140,8,140-08,0.5
back,8,7,140,9,140-09,0.5
back,8,9,140,10,140-10,0.5
back,7,9,140,11,140-11,0.5
back,7,7,140,12,140-12,0.5
back,6,7,140,14,140-14,0.5
back,6,9,140,15,140-15,0.5
back,5,7,140,17,140-17,0.5
back,5,9,140,18,140-18,0.5
back,4,9,140,19,140-19,0.5
back,4,7,140,20,140-20,0.5
back,3,9,140,21,140-21,0.5
back,3,7,140,22,140-22,0.5
back,2,9,140,23,140-23,0.5
back,2,7,140,24,140-24,0.5
back,1,8,140,25,140-25,0.5
back,1,7,140,26,140-26,0.5
back,0,6,140,27,140-27,0.5
back,2,6,140,28,140-28,0.5
back,3,5,140,30,140-30,0.5
back,2,5,140,31,140-31,0.5
back,1,4,140,33,140-33,0.5
back,0,4,140,34,140-34,0.5
back,0,2,140,35,140-35,0.5
back,1,2,140,36,140-36,0.5
back,2,3,140,37,140-37,0.5
back,2,2,140,38,140-38,0.5
back,3,3,140,39,140-39,0.5
back,3,2,140,40,140-40,0.5
back,4,2,140,42,140-42,0.5
back,4,4,140,43,140-43,0.5
back,5,5,140,45,140-45,0.5
back,5,3,140,46,140-46,0.5
back,6,2,140,48,140-48,0.5
back,6,4,140,49,140-49,0.5
back,7,1,140,50,140-50,0.5
back,7,2,140,51,140-51,0.5
back,7,3,140,52,140-52,0.5
back,8,1,140,53,140-53,0.5
back,8,2,140,54,140-54,0.5
back,9,1,140,55,140-55,0.5
back,9,4,140,56,140-56,0.5
back,10,1,140,57,140-57,0.5
back,10,4,140,58,140-58,0.5
back,11,1,140,59,140-59,0.5
back,11,2,140,60,140-60,0.5
back,10,14,141,1,141-01,0.5
back,11,14,141,2,141-02,0.5
back,10,15,141,3,141-03,0.5
back,11,16,141,4,141-04,0.5
back,11,18,141,5,141-05,0.5
back,10,17,141,6,141-06,0.5
back,9,15,141,7,141-07,0.5
back,9,17,141,8,141-08,0.5
back,8,15,141,9,141-09,0.5
back,8,17,141,10,141-10,0.5
back,8,18,141,11,141-11,0.5
back,7,15,141,12,141-12,0.5
back,7,14,141,13,141-13,0.5
back,6,15,141,14,141-14,0.5
back,6,14,141,15,141-15,0.5
back,5,18,141,16,141-16,0.5
back,5,16,141,17,141-17,0.5
back,5,14,141,18,141-18,0.5
back,4,18,141,19,141-19,0.5
back,4,16,141,20,141-20,0.5
back,3,17,141,21,141-21,0.5
back,3,15,141,22,141-22,0.5
back,2,17,141,23,141-23,0.5
back,1,18,141,24,141-24,0.5
back,0,18,141,25,141-25,0.5
back,0,17,141,26,141-26,0.5
back,0,16,141,27,141-27,0.5
back,1,15,141,28,141-28,0.5
back,2,14,141,30,141-30,0.5
back,0,14,141,31,141-31,0.5
back,2,13,141,33,141-33,0.5
back,0,12,141,34,141-34,0.5
back,0,11,141,35,141-35,0.5
back,0,10,141,36,141-36,0.5
back,1,10,141,37,141-37,0.5
back,2,10,141,38,141-38,0.5
back,3,12,141,39,141-39,0.5
back,3,10,141,40,141-40,0.5
back,4,14,141,42,141-42,0.5
back,4,12,141,43,141-43,0.5
back,4,10,141,44,141-44,0.5
back,5,10,141,45,141-45,0.5
back,5,13,141,46,141-46,0.5
back,6,10,141,48,141-48,0.5
back,6,13,141,49,141-49,0.5
back,7,10,141,51,141-51,0.5
back,7,12,141,52,141-52,0.5
back,8,10,141,53,141-53,0.5
back,8,13,141,54,141-54,0.5
back,9,10,141,55,141-55,0.5
back,9,13,141,56,141-56,0.5
back,10,10,141,57,141-57,0.5
back,10,11,141,58,141-58,0.5
back,11,10,141,59,141-59,0.5
back,11,11,141,60,141-60,0.5
back,11,13,142,1,142-01,0.5
back,9,14,142,2,142-02,0.5
back,11,15,142,3,142-03,0.5
back,11,17,142,4,142-04,0.5
back,10,16,142,5,142-05,0.5
back,10,18,142,6,142-06,0.5
back,9,16,142,7,142-07,0.5
back,9,18,142,8,142-08,0.5
back,8,16,142,9,142-09,0.5
back,8,14,142,10,142-10,0.5
back,7,17,142,11,142-11,0.5
back,7,16,142,12,142-12,0.5
back,7,18,142,13,142-13,0.5
back,6,16,142,14,142-14,0.5
back,6,17,142,15,142-15,0.5
back,6,18,142,16,142-16,0.5
back,5,15,142,17,142-17,0.5
back,5,17,142,18,142-18,0.5
back,4,17,142,19,142-19,0.5
back,4,15,142,20,142-20,0.5
back,3,18,142,21,142-21,0.5
back,3,16,142,22,142-22,0.5
back,2,18,142,23,142-23,0.5
back,2,16,142,24,142-24,0.5
back,1,17,142,25,142-25,0.5
back,1,16,142,26,142-26,0.5
back,0,15,142,27,142-27,0.5
back,2,15,142,28,142-28,0.5
back,1,14,142,30,142-30,0.5
back,3,14,142,31,142-31,0.5
back,1,13,142,33,142-33,0.5
back,0,13,142,34,142-34,0.5
back,1,12,142,35,142-35,0.5
back,1,11,142,36,142-36,0.5
back,2,12,142,37,142-37,0.5
back,2,11,142,38,142-38,0.5
back,3,13,142,39,142-39,0.5
back,3,11,142,40,142-40,0.5
back,4,11,142,42,142-42,0.5
back,4,13,142,43,142-43,0.5
back,5,11,142,45,142-45,0.5
back,5,12,142,46,142-46,0.5
back,6,11,142,48,142-48,0.5
back,6,12,142,49,142-49,0.5
back,7,11,142,51,142-51,0.5
back,7,13,142,52,142-52,0.5
back,8,11,142,54,142-54,0.5
back,8,12,142,55,142-55,0.5
back,9,11,142,56,142-56,0.5
back,9,12,142,57,142-57,0.5
back,10,13,142,58,142-58,0.5
back,10,12,142,59,142-59,0.5
back,11,12,142,60,142-60,0.5
