side,row,col,board_no,socket,label,shift
front,11,9,3,57,003-57,0
front,10,8,3,58,003-58,0
front,10,9,3,59,003-59,0
front,10,10,3,60,003-60,0
front,10,11,4,1,004-01,0
front,10,12,4,2,004-02,0
front,11,13,4,3,004-03,0
front,8,14,4,4,004-04,0
front,8,15,4,5,004-05,0
front,8,16,4,6,004-06,0
front,10,14,4,7,004-07,0
front,11,14,4,8,004-08,0
front,12,13,4,9,004-09,0.5
front,11,15,4,10,004-10,0
front,13,14,4,11,004-11,0
front,12,11,4,12,004-12,0.5
front,12,15,4,13,004-13,0.5
front,14,14,4,14,004-14,0.5
front,14,13,4,15,004-15,0.5
front,14,15,4,16,004-16,0.5
front,15,15,4,17,004-17,0
front,16,13,4,18,004-18,0
front,16,14,4,19,004-19,0
front,17,13,4,21,004-21,0.5
front,21,16,4,26,004-26,0
front,21,15,4,28,004-28,0
front,21,14,4,29,004-29,0
front,17,12,4,30,004-30,0.5
front,18,13,4,31,004-31,0
front,21,13,4,32,004-32,0
front,21,12,4,33,004-33,0
front,20,12,4,34,004-34,0
front,21,10,4,35,004-35,0
front,20,10,4,36,004-36,0
front,19,9,4,37,004-37,0.5
front,18,9,4,38,004-38,0
front,18,11,4,39,004-39,0
front,17,9,4,40,004-40,0.5
front,16,8,4,41,004-41,0
front,17,11,4,42,004-42,0.5
front,16,10,4,43,004-43,0
front,15,8,4,44,004-44,0
front,16,11,4,45,004-45,0
front,15,10,4,46,004-46,0
front,13,7,4,47,004-47,0
front,15,11,4,48,004-48,0
front,13,8,4,49,004-49,0
front,12,6,4,50,004-50,0.5
front,12,7,4,51,004-51,0.5
front,13,11,4,52,004-52,0
front,11,6,4,53,004-53,0
front,11,7,4,54,004-54,0
front,10,6,4,55,004-55,0
front,10,7,4,56,004-56,0
front,9,5,4,57,004-57,0.5
front,11,10,4,58,004-58,0
front,9,6,4,59,004-59,0.5
front,9,7,4,60,004-60,0.5
front,1,23,5,1,005-01,0
front,1,24,5,2,005-02,0
front,0,25,5,3,005-03,0.5
front,0,26,5,4,005-04,0.5
front,0,27,5,5,005-05,0.5
front,2,24,5,6,005-06,0.5
front,0,29,5,7,005-07,0.5
front,0,30,5,8,005-08,0.5
front,1,28,5,9,005-09,0
front,1,29,5,10,005-10,0
front,1,30,5,11,005-11,0
front,4,23,5,12,005-12,0.5
front,2,28,5,13,005-13,0.5
front,2,29,5,14,005-14,0.5
front,3,27,5,15,005-15,0
front,4,25,5,16,005-16,0.5
front,5,24,5,17,005-17,0
front,4,26,5,18,005-18,0.5
front,6,24,5,19,005-19,0
front,4,28,5,20,005-20,0.5
front,6,25,5,21,005-21,0
front,5,28,5,22,005-22,0
front,6,27,5,23,005-23,0
front,6,28,5,24,005-24,0
front,7,26,5,25,005-25,0.5
front,8,25,5,26,005-26,0
front,9,23,5,27,005-27,0.5
front,8,23,5,28,005-28,0
front,9,21,5,29,005-29,0.5
front,7,22,5,30,005-30,0.5
front,6,22,5,31,005-31,0
front,8,21,5,32,005-32,0
front,7,20,5,33,005-33,0.5
front,8,20,5,34,005-34,0
