side,row,col,board_no,socket,label,shift
front,10,5,54,1,054-01,0
front,11,4,54,2,054-02,0.5
front,10,6,54,4,054-04,0
front,11,5,54,6,054-06,0.5
front,11,6,54,7,054-07,0.5
front,12,5,54,9,054-09,0
front,12,6,54,10,054-10,0
front,13,4,54,11,054-11,0.5
front,13,5,54,12,054-12,0.5
front,15,4,54,13,054-13,0.5
front,14,6,54,14,054-14,0
front,15,5,54,15,054-15,0.5
front,17,5,54,16,054-16,0.5
front,29,8,54,17,054-17,0.5
front,15,6,54,18,054-18,0.5
front,32,8,54,19,054-19,0
front,24,9,54,20,054-20,0
front,21,8,54,21,054-21,0.5
front,18,7,54,22,054-22,0
front,20,8,54,23,054-23,0
front,22,8,54,24,054-24,0
front,19,7,54,25,054-25,0.5
front,27,7,54,26,054-26,0.5
front,21,7,54,27,054-27,0.5
front,20,7,54,28,054-28,0
front,18,6,54,29,054-29,0
front,21,6,54,30,054-30,0.5
front,25,6,54,31,054-31,0.5
front,18,5,54,32,054-32,0
front,20,6,54,33,054-33,0
front,23,6,54,34,054-34,0.5
front,32,7,54,35,054-35,0
front,26,5,54,36,054-36,0
front,17,2,54,37,054-37,0.5
front,24,6,54,38,054-38,0
front,31,7,54,39,054-39,0.5
front,18,4,54,40,054-40,0
front,25,5,54,41,054-41,0.5
front,22,5,54,42,054-42,0
front,17,3,54,43,054-43,0.5
front,20,5,54,44,054-44,0
front,17,4,54,45,054-45,0.5
front,16,4,54,46,054-46,0
front,14,3,54,47,054-47,0
front,14,2,54,48,054-48,0
front,15,1,54,49,054-49,0.5
front,13,2,54,50,054-50,0.5
front,13,1,54,51,054-51,0.5
front,13,3,54,52,054-52,0.5
front,12,2,54,53,054-53,0
front,12,3,54,54,054-54,0
front,12,4,54,55,054-55,0
front,11,1,54,56,054-56,0.5
front,11,2,54,57,054-57,0.5
front,11,3,54,58,054-58,0.5
front,10,2,54,59,054-59,0
front,9,1,54,60,054-60,0.5
front,14,5,55,12,055-12,0
front,13,6,55,13,055-13,0.5
front,16,5,55,14,055-14,0
front,23,7,55,15,055-15,0.5
front,16,6,55,16,055-16,0
front,18,8,55,17,055-17,0
front,28,8,55,18,055-18,0
front,16,7,55,19,055-19,0
front,26,8,55,20,055-20,0
front,23,8,55,21,055-21,0.5
front,25,8,55,22,055-22,0.5
front,28,7,55,23,055-23,0
front,17,6,55,24,055-24,0.5
front,30,8,55,25,055-25,0
front,29,7,55,26,055-26,0.5
front,24,8,55,27,055-27,0
front,22,7,55,28,055-28,0
front,19,6,55,29,055-29,0.5
front,25,7,55,30,055-30,0.5
front,24,7,55,31,055-31,0
front,19,5,55,32,055-32,0.5
front,26,7,55,33,055-33,0
front,26,6,55,34,055-34,0
front,31,8,55,35,055-35,0.5
front,23,5,55,36,055-36,0.5
front,27,6,55,37,055-37,0.5
front,22,6,55,38,055-38,0
front,27,5,55,39,055-39,0.5
front,21,5,55,40,055-40,0.5
front,24,5,55,41,055-41,0
front,19,4,55,42,055-42,0.5
front,16,3,55,43,055-43,0
front,15,2,55,44,055-44,0.5
front,18,3,55,45,055-45,0
front,15,3,55,46,055-46,0.5
front,16,2,55,47,055-47,0
front,14,4,55,48,055-48,0
front,17,1,55,49,055-49,0.5
front,10,3,55,60,055-60,0
front,8,10,56,1,056-01,0
front,7,10,56,2,056-02,0.5
front,9,10,56,3,056-03,0.5
front,7,11,56,4,056-04,0.5
front,6,12,56,5,056-05,0
front,10,11,56,6,056-06,0
front,10,12,56,7,056-07,0
front,11,10,56,8,056-08,0.5
front,11,11,56,9,056-09,0.5
front,12,10,56,10,056-10,0
front,12,11,56,11,056-11,0
front,13,10,56,12,056-12,0.5
front,14,10,56,13,056-13,0
front,13,11,56,14,056-14,0.5
front,14,12,56,15,056-15,0
front,16,11,56,16,056-16,0
front,26,11,56,17,056-17,0
front,15,11,56,18,056-18,0.5
front,30,11,56,19,056-19,0
front,31,11,56,20,056-20,0.5
front,16,12,56,21,056-21,0
front,17,11,56,22,056-22,0.5
front,23,11,56,23,056-23,0.5
front,24,12,56,24,056-24,0
front,26,12,56,25,056-25,0
front,29,11,56,26,056-26,0.5
front,18,11,56,27,056-27,0
front,24,11,56,28,056-28,0
front,21,10,56,29,056-29,0.5
front,23,10,56,30,056-30,0.5
front,22,10,56,31,056-31,0
front,25,10,56,32,056-32,0.5
front,32,10,56,33,056-33,0
front,28,9,56,34,056-34,0
front,27,8,56,35,056-35,0.5
front,17,7,56,36,056-36,0.5
front,30,9,56,37,056-37,0
front,31,9,56,38,056-38,0.5
front,20,9,56,39,056-39,0
front,29,9,56,40,056-40,0.5
front,16,8,56,41,056-41,0
front,31,10,56,42,056-42,0.5
front,16,9,56,43,056-43,0
front,15,7,56,44,056-44,0.5
front,19,9,56,45,056-45,0.5
front,17,8,56,46,056-46,0.5
front,14,9,56,47,056-47,0
front,18,9,56,48,056-48,0
